#period	period time	calc time
1	4994	1499
2	5751	1244
3	4494	1750
4	4996	1497
5	4999	1746
6	4996	1497
7	4993	1755
8	5000	1498
9	4997	1747
10	4995	1498
11	4999	1746
12	4995	1498
13	4995	1748
14	5001	1495
15	4995	1748
16	4995	1498
17	4999	1747
18	4997	1497
19	4992	1750
20	5002	1497
21	4996	1746
22	4994	1499
23	4999	1746
24	4995	1497
25	4993	1750
26	5002	1496
27	4995	1747
28	4995	1498
29	4999	1748
30	4996	1498
31	4994	1749
32	5000	1497
33	4996	1746
34	4996	1496
35	4998	1747
36	4996	1498
37	4994	1498
38	5001	1496
39	4995	1747
40	4994	1498
41	5000	1496
42	4996	1497
43	5242	1500
44	5002	1248
45	4746	1748
46	4994	1499
47	5250	1500
48	4995	1248
49	4745	1754
50	5245	1255
51	4999	1499
52	4995	1256
53	4748	1753
54	5247	1261
55	4996	1505
56	5000	1248
57	4995	1497
58	5003	1243
59	4992	1497
60	4993	1248
61	4999	1500
62	4998	1246
63	4993	1499
64	5000	1247
65	4996	1497
66	4995	1249
67	5000	1496
68	4995	1247
69	4994	1498
70	5000	1245
71	4995	1498
72	4994	1499
73	5000	1497
74	4996	1497
75	4993	1500
76	5001	1497
77	4994	1498
78	4996	1496
79	4999	1746
80	4996	1498
81	4994	1498
82	5001	1496
83	4994	1501
84	4996	1498
85	5000	1750
86	4994	1499
87	4994	1756
88	4997	1505
89	4998	1750
90	4996	1504
91	4998	1754
92	4997	1498
93	4996	1755
94	4997	1501
95	4997	1749
96	4995	1504
97	5000	1748
98	4993	1502
99	5002	1746
